category,item,yoy_growth_pct,demographic,demo_growth_pct
apparel,skorts,134.0,gen_z,213.0
apparel,mini_pleated_skirts,109.0,gen_z,124.0
apparel,cotton_jersey_jumpers,126.0,gen_z,76.0
footwear,white_trainers,27.0,gen_z,27.0
apparel,skorts,134.0,millennial,126.0
apparel,mini_pleated_skirts,109.0,millennial,92.0
apparel,cotton_jersey_jumpers,126.0,millennial,92.0
apparel,skorts,134.0,gen_x,54.0
apparel,mini_pleated_skirts,109.0,gen_x,86.0
apparel,cotton_jersey_jumpers,126.0,gen_x,142.0
apparel,skorts,134.0,baby_boomer,47.0
apparel,mini_pleated_skirts,109.0,baby_boomer,125.0
apparel,cotton_jersey_jumpers,126.0,baby_boomer,207.0
