date,event,metric,value,source
2024-03-01,Challengers press tour begins,social_media_posts,1251,WeArisma
2024-04-01,Pre-release buzz,pinterest_search_growth_pct,138,Boohoo
2024-04-26,Challengers movie release,adult_tennis_lesson_searches_growth_pct,245,Tennis.com
2024-05-01,Peak social media activity,social_media_posts,4500,WeArisma
2024-05-01,Post-release,social_media_yoy_growth_pct,18,WeArisma
2024-05-01,Tennis dress sales,sales_growth_pct,69,Afterpay
2024-05-01,Workout dress sales,sales_growth_pct,114,Afterpay
2024-06-01,Sustained interest,loewe_media_value_million_usd,6.0,WeArisma
2024-07-01,Wimbledon boost,total_media_value_million_usd,42.5,WeArisma
